"device_id","timestamp","sensor_type","value","unit"
"humidity_sensor_001","2024-11-12T23:43:33.274071+00:00","humidity","42.78","Percent"
"energy_sensor_001","2024-11-12T23:38:07.539784+00:00","energy","3.65","kWh"
"energy_sensor_001","2024-11-12T23:38:19.743334+00:00","energy","3.19","kWh"
"energy_sensor_001","2024-11-12T23:38:33.153129+00:00","energy","1.16","kWh"
"energy_sensor_001","2024-11-12T23:38:35.851618+00:00","energy","4.84","kWh"
"energy_sensor_001","2024-11-12T23:38:57.468479+00:00","energy","0.93","kWh"
"energy_sensor_001","2024-11-12T23:39:02.287168+00:00","energy","1.2","kWh"
"energy_sensor_001","2024-11-12T23:39:04.657243+00:00","energy","4.65","kWh"
"energy_sensor_001","2024-11-12T23:39:09.674654+00:00","energy","0.59","kWh"
"energy_sensor_001","2024-11-12T23:39:17.908828+00:00","energy","1.59","kWh"
"energy_sensor_001","2024-11-12T23:39:22.790126+00:00","energy","1.55","kWh"
"energy_sensor_001","2024-11-12T23:39:28.092639+00:00","energy","4.23","kWh"
"energy_sensor_001","2024-11-12T23:39:34.024267+00:00","energy","1.64","kWh"
"energy_sensor_001","2024-11-12T23:39:39.297324+00:00","energy","4.21","kWh"
"energy_sensor_001","2024-11-12T23:39:44.552937+00:00","energy","4.1","kWh"
"energy_sensor_001","2024-11-12T23:39:49.878507+00:00","energy","4.35","kWh"
"energy_sensor_001","2024-11-12T23:39:55.207704+00:00","energy","2.74","kWh"
"energy_sensor_001","2024-11-12T23:40:00.277384+00:00","energy","2.78","kWh"
"energy_sensor_001","2024-11-12T23:40:05.486842+00:00","energy","0.95","kWh"
"energy_sensor_001","2024-11-12T23:40:10.886205+00:00","energy","1.75","kWh"
"energy_sensor_001","2024-11-12T23:40:13.326247+00:00","energy","0.74","kWh"
"energy_sensor_001","2024-11-12T23:40:18.422657+00:00","energy","1.07","kWh"
"energy_sensor_001","2024-11-12T23:40:27.438533+00:00","energy","1.32","kWh"
"energy_sensor_001","2024-11-12T23:40:32.504911+00:00","energy","1.72","kWh"
"energy_sensor_001","2024-11-12T23:40:35.795864+00:00","energy","2.29","kWh"
"energy_sensor_001","2024-11-12T23:40:40.455099+00:00","energy","4.32","kWh"
"energy_sensor_001","2024-11-12T23:40:45.692317+00:00","energy","0.94","kWh"
"energy_sensor_001","2024-11-12T23:40:50.893923+00:00","energy","1.6","kWh"
"energy_sensor_001","2024-11-12T23:40:56.866997+00:00","energy","4.12","kWh"
"energy_sensor_001","2024-11-12T23:41:02.285547+00:00","energy","0.63","kWh"
"energy_sensor_001","2024-11-12T23:41:18.306642+00:00","energy","1.31","kWh"
"energy_sensor_001","2024-11-12T23:41:20.838790+00:00","energy","1.12","kWh"
"energy_sensor_001","2024-11-12T23:41:36.084665+00:00","energy","3.44","kWh"
"energy_sensor_001","2024-11-12T23:41:49.170704+00:00","energy","2.27","kWh"
"energy_sensor_001","2024-11-12T23:41:55.489482+00:00","energy","0.57","kWh"
"energy_sensor_001","2024-11-12T23:42:01.421466+00:00","energy","2.17","kWh"
"energy_sensor_001","2024-11-12T23:42:09.197062+00:00","energy","3.87","kWh"
"energy_sensor_001","2024-11-12T23:42:14.630775+00:00","energy","4.54","kWh"
"energy_sensor_001","2024-11-12T23:42:17.049625+00:00","energy","1.48","kWh"
"energy_sensor_001","2024-11-12T23:42:23.147054+00:00","energy","2.92","kWh"
"energy_sensor_001","2024-11-12T23:42:28.081731+00:00","energy","4.54","kWh"
"energy_sensor_001","2024-11-12T23:42:32.791889+00:00","energy","1.55","kWh"
"energy_sensor_001","2024-11-12T23:42:38.450733+00:00","energy","3.7","kWh"
"energy_sensor_001","2024-11-12T23:42:43.464227+00:00","energy","2.32","kWh"
"energy_sensor_001","2024-11-12T23:42:48.872638+00:00","energy","4.79","kWh"
"energy_sensor_001","2024-11-12T23:42:54.035375+00:00","energy","2.58","kWh"
"energy_sensor_001","2024-11-12T23:43:00.286904+00:00","energy","3.06","kWh"
"energy_sensor_001","2024-11-12T23:43:08.771306+00:00","energy","4.33","kWh"
"energy_sensor_001","2024-11-12T23:43:14.011417+00:00","energy","4.77","kWh"
"energy_sensor_001","2024-11-12T23:43:19.427176+00:00","energy","3.07","kWh"
"energy_sensor_001","2024-11-12T23:43:24.235538+00:00","energy","1.02","kWh"
"energy_sensor_001","2024-11-12T23:43:27.255220+00:00","energy","3.88","kWh"
"energy_sensor_001","2024-11-12T23:43:32.510235+00:00","energy","0.57","kWh"
"energy_sensor_001","2024-11-12T23:43:45.320581+00:00","energy","1.77","kWh"
"energy_sensor_001","2024-11-12T23:43:52.627088+00:00","energy","0.6","kWh"
"energy_sensor_001","2024-11-12T23:43:57.504819+00:00","energy","1.36","kWh"
"energy_sensor_001","2024-11-12T23:44:02.477179+00:00","energy","2.09","kWh"
"energy_sensor_001","2024-11-12T23:44:08.402113+00:00","energy","4.96","kWh"
"energy_sensor_001","2024-11-12T23:44:13.456774+00:00","energy","1.15","kWh"
"energy_sensor_001","2024-11-12T23:44:20.803753+00:00","energy","4.29","kWh"
"energy_sensor_001","2024-11-12T23:44:23.559167+00:00","energy","0.85","kWh"
"energy_sensor_001","2024-11-12T23:44:29.148548+00:00","energy","1.03","kWh"
"energy_sensor_001","2024-11-12T23:44:33.740062+00:00","energy","1.62","kWh"
"energy_sensor_001","2024-11-12T23:44:38.937473+00:00","energy","2.26","kWh"
"energy_sensor_001","2024-11-12T23:44:50.731422+00:00","energy","4.19","kWh"
"energy_sensor_001","2024-11-12T23:44:55.739332+00:00","energy","1.35","kWh"
"energy_sensor_001","2024-11-12T23:44:58.150268+00:00","energy","3.64","kWh"
"energy_sensor_001","2024-11-12T23:45:03.094305+00:00","energy","4.39","kWh"
"energy_sensor_001","2024-11-12T23:45:11.816217+00:00","energy","4.34","kWh"
"energy_sensor_001","2024-11-12T23:45:17.094247+00:00","energy","3.55","kWh"
"energy_sensor_001","2024-11-12T23:45:22.535490+00:00","energy","2.24","kWh"
"energy_sensor_001","2024-11-12T23:45:27.436511+00:00","energy","1.31","kWh"
"energy_sensor_001","2024-11-12T23:45:40.137500+00:00","energy","3.82","kWh"
"energy_sensor_001","2024-11-12T23:45:45.680444+00:00","energy","3.32","kWh"
"energy_sensor_001","2024-11-12T23:45:50.784199+00:00","energy","4.49","kWh"
"energy_sensor_001","2024-11-12T23:45:55.924632+00:00","energy","3.08","kWh"
"energy_sensor_001","2024-11-12T23:46:01.363529+00:00","energy","0.93","kWh"
"energy_sensor_001","2024-11-12T23:46:06.061718+00:00","energy","1.37","kWh"
"energy_sensor_001","2024-11-12T23:46:08.569901+00:00","energy","1.02","kWh"
"energy_sensor_001","2024-11-12T23:46:21.355050+00:00","energy","2.51","kWh"
"energy_sensor_001","2024-11-12T23:46:25.938703+00:00","energy","4.34","kWh"
"energy_sensor_001","2024-11-12T23:46:33.043929+00:00","energy","3.65","kWh"
"energy_sensor_001","2024-11-12T23:46:37.782669+00:00","energy","1.75","kWh"
"energy_sensor_001","2024-11-12T23:46:42.686868+00:00","energy","4.77","kWh"
"energy_sensor_001","2024-11-12T23:46:47.314761+00:00","energy","4.13","kWh"
"energy_sensor_001","2024-11-12T23:46:51.897508+00:00","energy","2.19","kWh"
"energy_sensor_001","2024-11-12T23:46:54.208880+00:00","energy","2.88","kWh"
"energy_sensor_001","2024-11-12T23:56:32.184411+00:00","energy","3.23","kWh"
"energy_sensor_001","2024-11-12T23:56:37.310529+00:00","energy","1.07","kWh"
"energy_sensor_001","2024-11-12T23:56:43.161221+00:00","energy","4.9","kWh"
"energy_sensor_001","2024-11-12T23:56:51.280621+00:00","energy","4.62","kWh"
"energy_sensor_001","2024-11-12T23:56:56.392132+00:00","energy","4.84","kWh"
"energy_sensor_001","2024-11-12T23:56:59.110819+00:00","energy","2.2","kWh"
"energy_sensor_001","2024-11-12T23:57:04.723209+00:00","energy","2.09","kWh"
"energy_sensor_001","2024-11-12T23:57:13.085975+00:00","energy","0.64","kWh"
"energy_sensor_001","2024-11-12T23:57:17.878491+00:00","energy","1.73","kWh"
"energy_sensor_001","2024-11-12T23:57:20.470909+00:00","energy","4.36","kWh"
"energy_sensor_001","2024-11-12T23:57:25.397718+00:00","energy","0.75","kWh"
"energy_sensor_001","2024-11-12T23:57:30.598124+00:00","energy","2.22","kWh"
"energy_sensor_001","2024-11-12T23:57:35.576345+00:00","energy","1.98","kWh"
"energy_sensor_001","2024-11-12T23:57:41.157705+00:00","energy","3.46","kWh"
"energy_sensor_001","2024-11-12T23:57:46.436447+00:00","energy","2.88","kWh"
"energy_sensor_001","2024-11-12T23:58:02.294874+00:00","energy","0.94","kWh"
"energy_sensor_001","2024-11-12T23:58:07.165366+00:00","energy","2.72","kWh"
"energy_sensor_001","2024-11-12T23:58:20.343768+00:00","energy","4.31","kWh"
"energy_sensor_001","2024-11-12T23:58:25.710409+00:00","energy","1.57","kWh"
"energy_sensor_001","2024-11-12T23:58:30.878941+00:00","energy","0.64","kWh"
"energy_sensor_001","2024-11-12T23:58:36.169529+00:00","energy","4.58","kWh"
"energy_sensor_001","2024-11-12T23:58:41.833515+00:00","energy","4.95","kWh"
"energy_sensor_001","2024-11-12T23:58:46.984680+00:00","energy","4.3","kWh"
"energy_sensor_001","2024-11-12T23:58:52.315960+00:00","energy","1.46","kWh"
"energy_sensor_001","2024-11-12T23:58:58.153399+00:00","energy","4.7","kWh"
"energy_sensor_001","2024-11-12T23:59:03.631860+00:00","energy","3.71","kWh"
"energy_sensor_001","2024-11-12T23:59:10.164243+00:00","energy","4.6","kWh"
"energy_sensor_001","2024-11-12T23:59:15.781559+00:00","energy","1.85","kWh"
"energy_sensor_001","2024-11-12T23:59:21.264092+00:00","energy","2.4","kWh"
"energy_sensor_001","2024-11-12T23:59:26.524563+00:00","energy","3.86","kWh"
"energy_sensor_001","2024-11-12T23:59:29.425197+00:00","energy","0.94","kWh"
"energy_sensor_001","2024-11-12T23:59:34.144217+00:00","energy","2.02","kWh"
"energy_sensor_001","2024-11-12T23:59:42.134995+00:00","energy","2.46","kWh"
"energy_sensor_001","2024-11-12T23:59:46.834385+00:00","energy","3.28","kWh"
"energy_sensor_001","2024-11-12T23:59:52.388687+00:00","energy","0.64","kWh"
"energy_sensor_001","2024-11-12T23:59:57.157252+00:00","energy","0.69","kWh"
"energy_sensor_001","2024-11-13T00:00:02.370549+00:00","energy","2.16","kWh"
"energy_sensor_001","2024-11-13T00:00:07.166584+00:00","energy","2.54","kWh"
"energy_sensor_001","2024-11-13T00:00:11.767990+00:00","energy","2.34","kWh"
"energy_sensor_001","2024-11-13T00:00:17.589833+00:00","energy","2.95","kWh"
"energy_sensor_001","2024-11-13T00:00:22.267673+00:00","energy","4.18","kWh"
"energy_sensor_001","2024-11-13T00:00:24.635513+00:00","energy","1.68","kWh"
"energy_sensor_001","2024-11-13T00:00:29.936672+00:00","energy","1.44","kWh"
"energy_sensor_001","2024-11-13T00:00:35.314784+00:00","energy","1.13","kWh"
"energy_sensor_001","2024-11-13T00:00:40.180301+00:00","energy","4.75","kWh"
"energy_sensor_001","2024-11-13T00:00:44.948683+00:00","energy","4.86","kWh"
"energy_sensor_001","2024-11-13T00:00:50.529441+00:00","energy","1.64","kWh"
"energy_sensor_001","2024-11-13T00:00:55.309650+00:00","energy","3.91","kWh"
"energy_sensor_001","2024-11-13T00:01:02.877444+00:00","energy","2.2","kWh"
"energy_sensor_001","2024-11-13T00:01:07.759960+00:00","energy","1.37","kWh"
"energy_sensor_001","2024-11-13T00:01:10.190045+00:00","energy","3.79","kWh"
"energy_sensor_001","2024-11-13T00:01:14.931307+00:00","energy","3.01","kWh"
"energy_sensor_001","2024-11-13T00:01:23.874877+00:00","energy","1.37","kWh"
"energy_sensor_001","2024-11-13T00:01:28.424794+00:00","energy","4.6","kWh"
"energy_sensor_001","2024-11-13T00:01:33.228218+00:00","energy","1.51","kWh"
"energy_sensor_001","2024-11-13T00:01:38.312902+00:00","energy","2.13","kWh"
"energy_sensor_001","2024-11-13T00:01:43.530854+00:00","energy","4.66","kWh"
"temp_sensor_001","2024-11-12T23:42:54.031093+00:00","temperature","24.21","Celsius"
"temp_sensor_001","2024-11-12T23:42:56.718734+00:00","temperature","22.86","Celsius"
"temp_sensor_001","2024-11-12T23:43:02.292801+00:00","temperature","19.14","Celsius"
"temp_sensor_001","2024-11-12T23:43:11.242998+00:00","temperature","23.85","Celsius"
"temp_sensor_001","2024-11-12T23:43:16.742169+00:00","temperature","18.47","Celsius"
"temp_sensor_001","2024-11-12T23:43:21.690508+00:00","temperature","18.69","Celsius"
"temp_sensor_001","2024-11-12T23:43:26.762539+00:00","temperature","22.35","Celsius"
"temp_sensor_001","2024-11-12T23:43:31.502937+00:00","temperature","23.47","Celsius"
"temp_sensor_001","2024-11-12T23:44:02.101296+00:00","temperature","24.47","Celsius"
"temp_sensor_001","2024-11-12T23:44:08.407204+00:00","temperature","19.66","Celsius"
"temp_sensor_001","2024-11-12T23:44:15.544229+00:00","temperature","20.03","Celsius"
"temp_sensor_001","2024-11-12T23:44:22.720843+00:00","temperature","23.98","Celsius"
"temp_sensor_001","2024-11-12T23:44:27.771205+00:00","temperature","22.11","Celsius"
"temp_sensor_001","2024-11-12T23:44:59.944353+00:00","temperature","18.52","Celsius"
"temp_sensor_001","2024-11-12T23:45:04.692824+00:00","temperature","23.47","Celsius"
"temp_sensor_001","2024-11-12T23:45:09.541559+00:00","temperature","20.82","Celsius"
"temp_sensor_001","2024-11-12T23:45:17.096879+00:00","temperature","18.18","Celsius"
"temp_sensor_001","2024-11-12T23:45:22.505942+00:00","temperature","19.17","Celsius"
"temp_sensor_001","2024-11-12T23:45:26.436815+00:00","temperature","18.23","Celsius"
"temp_sensor_001","2024-11-12T23:45:45.675976+00:00","temperature","22.02","Celsius"
"temp_sensor_001","2024-11-12T23:46:19.900692+00:00","temperature","22.55","Celsius"
"temp_sensor_001","2024-11-12T23:46:27.566958+00:00","temperature","22.14","Celsius"
"temp_sensor_001","2024-11-12T23:46:32.296079+00:00","temperature","21.23","Celsius"
"temp_sensor_001","2024-11-12T23:46:34.603676+00:00","temperature","22.91","Celsius"
"temp_sensor_001","2024-11-12T23:46:39.289002+00:00","temperature","18.73","Celsius"
"temp_sensor_001","2024-11-12T23:48:25.626439+00:00","temperature","21.06","Celsius"
"temp_sensor_001","2024-11-12T23:48:30.817222+00:00","temperature","18.26","Celsius"
"temp_sensor_001","2024-11-12T23:48:35.852859+00:00","temperature","18.16","Celsius"
"temp_sensor_001","2024-11-12T23:48:43.017809+00:00","temperature","20.76","Celsius"
"temp_sensor_001","2024-11-12T23:48:48.492252+00:00","temperature","21.74","Celsius"
"temp_sensor_001","2024-11-12T23:48:51.018132+00:00","temperature","21.8","Celsius"
"temp_sensor_001","2024-11-12T23:48:56.752942+00:00","temperature","19.47","Celsius"
"temp_sensor_001","2024-11-12T23:49:01.605272+00:00","temperature","23.86","Celsius"
"temp_sensor_001","2024-11-12T23:49:53.921937+00:00","temperature","23.45","Celsius"
"temp_sensor_001","2024-11-12T23:49:58.739999+00:00","temperature","21.9","Celsius"
"temp_sensor_001","2024-11-12T23:50:00.990770+00:00","temperature","18.08","Celsius"
"temp_sensor_001","2024-11-12T23:50:06.599717+00:00","temperature","19.88","Celsius"
"temp_sensor_001","2024-11-12T23:50:14.089299+00:00","temperature","18.94","Celsius"
"temp_sensor_001","2024-11-12T23:50:19.084823+00:00","temperature","23.62","Celsius"
"temp_sensor_001","2024-11-12T23:50:24.123566+00:00","temperature","20.31","Celsius"
"temp_sensor_001","2024-11-12T23:50:56.553258+00:00","temperature","24.91","Celsius"
"temp_sensor_001","2024-11-12T23:51:01.708139+00:00","temperature","21.81","Celsius"
"temp_sensor_001","2024-11-12T23:51:07.376265+00:00","temperature","18.05","Celsius"
"temp_sensor_001","2024-11-12T23:51:12.048700+00:00","temperature","24.34","Celsius"
"temp_sensor_001","2024-11-12T23:51:16.871658+00:00","temperature","24.34","Celsius"
"temp_sensor_001","2024-11-12T23:51:51.172696+00:00","temperature","20.36","Celsius"
"temp_sensor_001","2024-11-12T23:51:56.336572+00:00","temperature","22.53","Celsius"
"temp_sensor_001","2024-11-12T23:52:01.113119+00:00","temperature","19.87","Celsius"
"temp_sensor_001","2024-11-12T23:52:06.216335+00:00","temperature","20.96","Celsius"
"temp_sensor_001","2024-11-12T23:52:08.777138+00:00","temperature","21.79","Celsius"
"temp_sensor_001","2024-11-12T23:52:13.882898+00:00","temperature","18.58","Celsius"
"temp_sensor_001","2024-11-12T23:53:14.712348+00:00","temperature","24.69","Celsius"
"temp_sensor_001","2024-11-12T23:53:17.214703+00:00","temperature","21.25","Celsius"
"temp_sensor_001","2024-11-12T23:53:22.325235+00:00","temperature","22.5","Celsius"
"temp_sensor_001","2024-11-12T23:53:30.726390+00:00","temperature","22.96","Celsius"
"temp_sensor_001","2024-11-12T23:53:36.747341+00:00","temperature","24.63","Celsius"
"temp_sensor_001","2024-11-12T23:53:39.076243+00:00","temperature","23.52","Celsius"
"temp_sensor_001","2024-11-12T23:53:44.105785+00:00","temperature","22.81","Celsius"
"temp_sensor_001","2024-11-12T23:53:52.286984+00:00","temperature","19.37","Celsius"
"temp_sensor_001","2024-11-12T23:53:57.350179+00:00","temperature","22.39","Celsius"
"temp_sensor_001","2024-11-12T23:54:25.689701+00:00","temperature","23.46","Celsius"
"temp_sensor_001","2024-11-12T23:54:31.530405+00:00","temperature","19.75","Celsius"
"temp_sensor_001","2024-11-12T23:54:36.827780+00:00","temperature","20.58","Celsius"
"temp_sensor_001","2024-11-12T23:54:41.904066+00:00","temperature","23.37","Celsius"
"temp_sensor_001","2024-11-12T23:54:48.161007+00:00","temperature","18.87","Celsius"
"temp_sensor_001","2024-11-12T23:54:53.776791+00:00","temperature","21.6","Celsius"
"temp_sensor_001","2024-11-12T23:55:52.085820+00:00","temperature","22.11","Celsius"
"temp_sensor_001","2024-11-12T23:55:54.537358+00:00","temperature","22.43","Celsius"
"temp_sensor_001","2024-11-12T23:56:00.048968+00:00","temperature","24.77","Celsius"
"temp_sensor_001","2024-11-12T23:56:07.442588+00:00","temperature","20.27","Celsius"
"temp_sensor_001","2024-11-12T23:56:13.374940+00:00","temperature","23.26","Celsius"
"temp_sensor_001","2024-11-13T00:02:49.610425+00:00","temperature","19.51","Celsius"
"temp_sensor_001","2024-11-13T00:02:54.270557+00:00","temperature","23.32","Celsius"
"temp_sensor_001","2024-11-13T00:02:58.901098+00:00","temperature","24.64","Celsius"
"temp_sensor_001","2024-11-13T00:03:03.667527+00:00","temperature","18.84","Celsius"
"temp_sensor_001","2024-11-13T00:03:08.799934+00:00","temperature","22.38","Celsius"
"humidity_sensor_001","2024-11-12T23:43:35.750275+00:00","humidity","61.83","Percent"
"humidity_sensor_001","2024-11-12T23:43:45.178012+00:00","humidity","48.4","Percent"
"humidity_sensor_001","2024-11-12T23:43:52.844850+00:00","humidity","64.73","Percent"
"humidity_sensor_001","2024-11-12T23:43:57.638994+00:00","humidity","66.28","Percent"
"humidity_sensor_001","2024-11-12T23:44:55.269345+00:00","humidity","43.17","Percent"
"humidity_sensor_001","2024-11-12T23:45:03.118722+00:00","humidity","45.4","Percent"
"humidity_sensor_001","2024-11-12T23:45:08.855062+00:00","humidity","64.41","Percent"
"humidity_sensor_001","2024-11-12T23:45:11.419776+00:00","humidity","43.91","Percent"
"humidity_sensor_001","2024-11-12T23:45:16.550827+00:00","humidity","33.93","Percent"
"humidity_sensor_001","2024-11-12T23:45:25.347013+00:00","humidity","57.2","Percent"
"humidity_sensor_001","2024-11-12T23:45:30.015646+00:00","humidity","63.58","Percent"
"humidity_sensor_001","2024-11-12T23:45:43.778777+00:00","humidity","37.78","Percent"
"humidity_sensor_001","2024-11-12T23:46:40.485990+00:00","humidity","30.97","Percent"
"humidity_sensor_001","2024-11-12T23:46:46.252771+00:00","humidity","48.44","Percent"
"humidity_sensor_001","2024-11-12T23:46:51.306634+00:00","humidity","64.02","Percent"
"humidity_sensor_001","2024-11-12T23:46:56.525374+00:00","humidity","47.39","Percent"
"humidity_sensor_001","2024-11-12T23:47:01.424110+00:00","humidity","41.22","Percent"
"humidity_sensor_001","2024-11-12T23:47:09.190948+00:00","humidity","43.71","Percent"
"humidity_sensor_001","2024-11-12T23:47:46.258305+00:00","humidity","43.97","Percent"
"humidity_sensor_001","2024-11-12T23:47:53.459047+00:00","humidity","64.38","Percent"
"humidity_sensor_001","2024-11-12T23:47:58.202106+00:00","humidity","62.21","Percent"
"humidity_sensor_001","2024-11-12T23:48:02.996166+00:00","humidity","42.5","Percent"
"humidity_sensor_001","2024-11-12T23:48:08.028495+00:00","humidity","43.01","Percent"
"humidity_sensor_001","2024-11-12T23:49:29.522830+00:00","humidity","58.07","Percent"
"humidity_sensor_001","2024-11-12T23:49:35.792332+00:00","humidity","54.21","Percent"
"humidity_sensor_001","2024-11-12T23:49:41.384405+00:00","humidity","48.77","Percent"
"humidity_sensor_001","2024-11-12T23:49:46.468541+00:00","humidity","36.56","Percent"
"humidity_sensor_001","2024-11-12T23:49:51.623365+00:00","humidity","67.43","Percent"
"humidity_sensor_001","2024-11-12T23:49:56.726607+00:00","humidity","42.54","Percent"
"humidity_sensor_001","2024-11-12T23:49:59.618576+00:00","humidity","52.85","Percent"
"humidity_sensor_001","2024-11-12T23:50:04.793769+00:00","humidity","52.66","Percent"
"humidity_sensor_001","2024-11-12T23:50:12.004927+00:00","humidity","39.3","Percent"
"humidity_sensor_001","2024-11-12T23:50:16.704622+00:00","humidity","59.32","Percent"
"humidity_sensor_001","2024-11-12T23:51:06.944222+00:00","humidity","38.12","Percent"
"humidity_sensor_001","2024-11-12T23:51:11.764668+00:00","humidity","61.62","Percent"
"humidity_sensor_001","2024-11-12T23:51:17.134518+00:00","humidity","65.56","Percent"
"humidity_sensor_001","2024-11-12T23:51:19.545361+00:00","humidity","45.7","Percent"
"humidity_sensor_001","2024-11-12T23:51:24.481464+00:00","humidity","57.95","Percent"
"humidity_sensor_001","2024-11-12T23:51:31.700739+00:00","humidity","57.09","Percent"
"humidity_sensor_001","2024-11-12T23:51:36.719616+00:00","humidity","42.65","Percent"
"humidity_sensor_001","2024-11-12T23:51:41.394504+00:00","humidity","34.45","Percent"
"humidity_sensor_001","2024-11-12T23:51:46.884014+00:00","humidity","64.24","Percent"
"humidity_sensor_001","2024-11-12T23:52:08.940590+00:00","humidity","32.56","Percent"
"humidity_sensor_001","2024-11-12T23:52:13.947872+00:00","humidity","66.33","Percent"
"humidity_sensor_001","2024-11-12T23:52:20.136638+00:00","humidity","31.03","Percent"
"humidity_sensor_001","2024-11-12T23:52:25.424476+00:00","humidity","38.74","Percent"
"humidity_sensor_001","2024-11-12T23:52:31.054940+00:00","humidity","38.88","Percent"
"humidity_sensor_001","2024-11-12T23:52:35.877160+00:00","humidity","56.65","Percent"
"humidity_sensor_001","2024-11-12T23:52:40.611261+00:00","humidity","41.08","Percent"
"humidity_sensor_001","2024-11-12T23:53:24.908169+00:00","humidity","56.52","Percent"
"humidity_sensor_001","2024-11-12T23:53:29.788409+00:00","humidity","67.45","Percent"
"humidity_sensor_001","2024-11-12T23:53:34.853873+00:00","humidity","43.5","Percent"
"humidity_sensor_001","2024-11-12T23:53:37.351059+00:00","humidity","44.6","Percent"
"humidity_sensor_001","2024-11-12T23:53:42.045800+00:00","humidity","41.87","Percent"
"humidity_sensor_001","2024-11-12T23:54:31.670924+00:00","humidity","60.39","Percent"
"humidity_sensor_001","2024-11-12T23:54:34.223123+00:00","humidity","39.83","Percent"
"humidity_sensor_001","2024-11-12T23:54:39.802767+00:00","humidity","41.63","Percent"
"humidity_sensor_001","2024-11-12T23:54:48.416976+00:00","humidity","30.25","Percent"
"humidity_sensor_001","2024-11-12T23:54:54.330578+00:00","humidity","67.07","Percent"
"humidity_sensor_001","2024-11-12T23:54:56.786179+00:00","humidity","34.68","Percent"
"humidity_sensor_001","2024-11-12T23:55:01.726251+00:00","humidity","41.52","Percent"
"humidity_sensor_001","2024-11-12T23:55:06.620522+00:00","humidity","44.14","Percent"
"humidity_sensor_001","2024-11-12T23:55:11.360537+00:00","humidity","67.68","Percent"
"humidity_sensor_001","2024-11-12T23:55:15.935915+00:00","humidity","65.42","Percent"
"humidity_sensor_001","2024-11-12T23:55:23.442426+00:00","humidity","51.65","Percent"
"humidity_sensor_001","2024-11-12T23:55:28.441550+00:00","humidity","58.79","Percent"
"humidity_sensor_001","2024-11-12T23:55:30.989011+00:00","humidity","64.67","Percent"
"humidity_sensor_001","2024-11-12T23:55:36.054328+00:00","humidity","57.29","Percent"
"humidity_sensor_001","2024-11-12T23:55:44.172798+00:00","humidity","59.34","Percent"
"humidity_sensor_001","2024-11-12T23:55:49.118060+00:00","humidity","52.73","Percent"
"humidity_sensor_001","2024-11-12T23:55:54.501644+00:00","humidity","62.61","Percent"
"humidity_sensor_001","2024-11-12T23:41:02.257201+00:00","humidity","36.59","Percent"
"humidity_sensor_001","2024-11-12T23:41:07.735850+00:00","humidity","51.09","Percent"
"humidity_sensor_001","2024-11-12T23:41:20.967084+00:00","humidity","40.79","Percent"
"humidity_sensor_001","2024-11-12T23:42:31.667490+00:00","humidity","41.27","Percent"
"humidity_sensor_001","2024-11-12T23:42:36.878707+00:00","humidity","44.25","Percent"
"humidity_sensor_001","2024-11-12T23:42:41.494152+00:00","humidity","39.8","Percent"
"humidity_sensor_001","2024-11-12T23:42:46.364747+00:00","humidity","30.24","Percent"
"humidity_sensor_001","2024-11-12T23:42:51.442535+00:00","humidity","45.12","Percent"
"humidity_sensor_001","2024-11-12T23:42:56.694615+00:00","humidity","42.45","Percent"
